participant,window_start,window_end,motor_left_theta,motor_left_alpha,motor_left_beta,motor_left_alpha_beta_ratio,motor_left_beta_theta_ratio,motor_left_total_power,temporal_left_theta,temporal_left_alpha,temporal_left_beta,temporal_left_alpha_beta_ratio,temporal_left_beta_theta_ratio,temporal_left_total_power,motor_right_theta,motor_right_alpha,motor_right_beta,motor_right_alpha_beta_ratio,motor_right_beta_theta_ratio,motor_right_total_power,temporal_right_theta,temporal_right_alpha,temporal_right_beta,temporal_right_alpha_beta_ratio,temporal_right_beta_theta_ratio,temporal_right_total_power,rhythm_similarity
11,42.16,44.16,0.341272070223604,0.6104618421118759,0.0482660876645177,12.647841821259131,0.1414299377997536,44710.88070589367,0.7649607804930041,0.1809096816539377,0.0541295378530566,3.3421619476050366,0.0707611935584082,60162.91860721881,0.173769967321876,0.7651439304858376,0.0610861021922845,12.525663007230728,0.3515342906126781,54764.80929886726,0.3532281763612617,0.5792397979261596,0.0675320257125772,8.577260815356677,0.191185274086145,75626.70631156459,0.036
11,42.656,44.656,0.2954237746576374,0.6331693758792656,0.0714068494630944,8.86706780427959,0.2417098946956664,40506.6893229506,0.737555324409638,0.1879938277169692,0.0744508478733905,2.52507302585273,0.1009427298663772,44890.63274330741,0.295300844672642,0.5555622118699378,0.1491369434574177,3.7251816953628,0.5050339209924829,43750.66243970322,0.3482175961437578,0.5669634433030699,0.0848189605531707,6.684395088143596,0.2435803402598695,65928.30474311803,0.032
11,43.152,45.152,0.2818509976624933,0.6315651293300871,0.0865838730074169,7.294258242247583,0.307197326692089,40420.85722177199,0.8451971277480399,0.0983497597031282,0.0564531125488299,1.7421494628494751,0.066792835298961,53356.743634258,0.1616171099666351,0.6242709035476933,0.2141119864856686,2.915628002869751,1.3248101425020349,35745.55040894726,0.261032114469204,0.6196087984095658,0.1193590871212284,5.191132182338531,0.4572582471851734,62586.37004510017,0.028
11,43.648,45.648,0.304651312719244,0.5829212840492853,0.1124274032314679,5.184868344322971,0.3690363328093589,39482.04102936981,0.5528911323082102,0.3181934449122893,0.1289154227794981,2.4682341185548764,0.2331660163209734,45079.10130873908,0.1830029514842401,0.6340438457997788,0.1829532027159787,3.465606703721257,0.9997281531917364,40547.1256794708,0.1527136371419885,0.6988817152115551,0.1484046476464547,4.709298032744212,0.9717838591485513,60756.28722362289,0.032
11,44.144,46.144,0.2526487381732367,0.544440606908227,0.2029106549185322,2.683154352475019,0.8031334586733495,25412.995504061877,0.3587289119965611,0.5355195401464499,0.1057515478569868,5.063940443412233,0.2947951623648334,51638.102256411046,0.1465013148443787,0.6172991986458399,0.2361994865097788,2.613465455693432,1.6122687141796532,42372.76448364177,0.251587093763725,0.5635937023394493,0.184819203896824,3.049432583066814,0.7346132153757998,61609.761053792616,0.032
11,44.64,46.64,0.2250154132337021,0.60208297777556,0.1729016089907343,3.482228888962004,0.7683989576800907,28189.13548069105,0.2956893072588892,0.5637963079569019,0.1405143847842068,4.012374311873744,0.4752095572437431,52251.73311993445,0.080094452163836,0.795643555721242,0.1242619921149201,6.402951877557241,1.551443186860622,57887.63469379129,0.1532741994437229,0.7086638296609687,0.1380619708953068,5.13294012149331,0.9007515380695056,75469.56198085462,0.04
11,45.136,47.136,0.2089432523937318,0.6435148299079948,0.1475419176982695,4.361572900414625,0.7061339191764825,25455.580425676144,0.2938398359773014,0.5752761710145978,0.1308839930080989,4.395313420633438,0.4454263070654881,56625.66865022909,0.132719087989441,0.7551405754098759,0.1121403366006814,6.733888967168272,0.844945051231831,62410.11646718709,0.2204739187728719,0.6679826833179754,0.1115433979091513,5.988545228486035,0.5059255921516076,74279.41789626057,0.04
11,45.632,47.632,0.2785017664950248,0.5806019030849761,0.1408963304199958,4.120773772845995,0.5059082109000236,29673.63055565017,0.3529324810420236,0.5298731315854885,0.1171943873724859,4.521318328166625,0.3320589451740799,53498.45270409545,0.1780606102173651,0.6801038500964748,0.1418355396861585,4.795017183995933,0.7965576413167039,66049.4897523103,0.2148488564778845,0.6345667372818892,0.1505844062402244,4.21402689113486,0.7008853047152417,58693.4755639397,0.04
11,46.128,48.128,0.3739542548360623,0.5173197609575756,0.1087259842063588,4.758014054632071,0.2907467499040015,30238.123622804134,0.4241030632417905,0.4373108352831559,0.138586101475051,3.1555172605953934,0.3267745826113952,40902.37302480638,0.2417760844195187,0.60205745307118,0.1561664625092995,3.855228858983225,0.6459136059062218,59953.10787942546,0.2543756955020801,0.599962126804199,0.1456621776937186,4.118860065827933,0.5726261599254329,45645.773102430016,0.044
11,46.624,48.624,0.5282119073338729,0.3367904323895064,0.1349976602766176,2.4947871814918616,0.2555748145815413,32652.023484437257,0.3847627150480981,0.4857891705589966,0.1294481143929028,3.7527713156524856,0.336436222456534,40131.03415896704,0.2072571267736953,0.6656591784118961,0.1270836948144071,5.23795896384675,0.6131692395464371,69248.0828621239,0.2586708201622707,0.5923647089961527,0.1489644708415739,3.976550285108806,0.5758843256774127,41823.43707042295,0.036
11,47.12,49.12,0.4489976757300588,0.4034706295590828,0.1475316947108555,2.734806445149491,0.3285800855671954,34089.470867280404,0.3865527171707738,0.4427735804009429,0.1706737024282801,2.5942694984717707,0.4415276231336835,31657.79509069884,0.2124037774723859,0.6478524106730672,0.1397438118545454,4.636000707833759,0.6579158502617126,65658.72908425129,0.2302048158337195,0.5798225675912737,0.189972616575004,3.052137608276521,0.8252330251519236,37172.62508685776,0.04
11,47.616,49.616,0.4434166831528694,0.3880576232746348,0.1685256935724921,2.3026614817502686,0.3800616890961474,27670.220785313388,0.3716596252538791,0.4515128723096682,0.1768275024364496,2.5534086388622192,0.4757780787075222,34558.910194275064,0.2118654678571709,0.6520100464690558,0.1361244856737714,4.789807235941519,0.6425043545347304,59639.24693490528,0.2742535731501476,0.5285018041125927,0.197244622737257,2.6794231283890846,0.7192052977529239,39422.53686394769,0.032
11,48.112,50.112,0.4679552404504122,0.340177597036689,0.1918671625128956,1.7729849786766891,0.4100117830248465,30261.28269316308,0.2612375377126135,0.5338642307374442,0.2048982315499393,2.605509216448844,0.7843368657659938,32560.00978129078,0.2197845448913813,0.6346682061222588,0.1455472489863578,4.360564768776478,0.6622269507543703,48949.32487403008,0.3363776064626066,0.4470167892627793,0.216605604274611,2.0637360273284933,0.6439358628907068,35126.846218911145,0.032
11,48.608,50.608,0.2354887150845661,0.4239300310943522,0.3405812538210769,1.244725087884773,1.4462742034104024,20977.59239207333,0.441303172209255,0.3686725107089955,0.1900243170817467,1.940133328043437,0.4305981217638764,40217.99853288941,0.2571100202530488,0.4738535127239889,0.2690364670229591,1.7612984513491474,1.0463865498441842,35029.137248858024,0.3395735845923244,0.4034705944139146,0.2569558209937576,1.570194412617378,0.7567014416101999,29685.04914960515,0.036
11,49.104,51.104,0.309791701546987,0.3311331503364157,0.3590751481165918,0.9221834261525992,1.1590857544714557,18016.144427211668,0.4915229870493392,0.2956774063723348,0.2127996065783232,1.3894640649323935,0.4329392768704045,37924.85133850331,0.2137433309082224,0.6052592374415031,0.180997431650272,3.344021138437991,0.8467980305218834,41859.65060544285,0.3400013052901784,0.4820081814964623,0.1779905132133561,2.7080554620272026,0.5234994996899973,32323.521070833234,0.028
11,49.6,51.6,0.4178380482820018,0.200083408108156,0.3820785436098359,0.5236708824782123,0.9144177874197872,16284.700822789788,0.5379684086061545,0.2739198828750194,0.1881117085188236,1.4561554144175235,0.3496705485108494,42277.7000703048,0.3488990216261206,0.4369934569480569,0.2141075214258195,2.041000026705991,0.6136661559780898,36439.868956557,0.3619666565699372,0.4402380549101662,0.1977952885198928,2.225725689446247,0.5464461572075046,25995.557038055456,0.032
11,50.096,52.096,0.175130773210926,0.4702244007353607,0.3546448260537061,1.3259023287263252,2.025028608915925,14354.024221782593,0.4124436159350472,0.3930887235909041,0.1944676604740462,2.021357806396611,0.4715012015234352,39542.51719719889,0.3115937176169973,0.4785044441404758,0.2099018382425243,2.2796581875933715,0.6736395067519569,39217.72118312362,0.3933585460881421,0.4430502802591144,0.1635911736527402,2.7082774111003154,0.4158831053236658,29883.38374434244,0.032
